Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
41505.0,-16.52650657,8.584971796,-18.64985319,9.505593515,-13.79381853,-2.832404299,-16.7016943,7.517343904,-8.507058637,-14.11018444,5.29923635,-10.83400648,1.671120253,-9.373858584,0.360805642,-9.899246541,-19.23629237,-8.398551995,3.101735369,-1.514923435,1.190738695,-1.127670009,-2.35857877,0.673461329,-1.413699675,-0.462762361,-2.018575249,-1.04280417,364.19,1
44261.0,0.339812064,-2.743745237,-0.134069511,-1.385729309,-1.451413321,1.015886594,-0.524379057,0.224060376,0.899746005,-0.565011684,-0.087670257,0.979426988,0.076882817,-0.217883812,-0.136829588,-2.14289209,0.126956065,1.752661508,0.432546224,0.506043885,-0.213435844,-0.942525025,-0.526819175,-1.156991897,0.31121051,-0.746646679,0.040995803,0.102037825,520.12,0
35484.0,1.399590269,-0.590701288,0.16861894,-1.029950325,-0.539806452,0.040444113,-0.712566691,0.002298594,-0.971747092,0.756800544,0.54382736,0.112452968,1.07538352,-0.245771983,0.180482805,1.76986004,-0.533172248,-0.533300338,1.192245219,0.212877195,0.102397693,0.168269339,-0.16663909,-0.81024968,0.505083112,-0.232340011,0.011408645,0.004634142,31.0,0
167123.0,-0.432071136,1.647895223,-1.669360625,-0.349504272,0.785784725,-0.630646714,0.276990104,0.586024545,-0.484715183,-1.376648267,-1.328335491,0.223620681,1.132627038,-0.550875407,0.616567936,0.497974164,0.502195472,0.981342761,0.101263969,-0.244633313,0.358931566,0.873663217,-0.178641813,-0.017170773,-0.207391715,-0.157756437,-0.237385989,0.001934124,1.5,0
168473.0,2.014160276,-0.13739402,-1.015838997,0.327268959,-0.182179329,-0.95657056,0.043240843,-0.160745983,0.363241203,0.259451902,0.942161999,0.85003765,-0.616165539,0.592633856,-0.603845391,0.091077246,-0.471866656,-0.333816385,0.40471133,-0.25529297,-0.238643844,-0.616400475,0.347044569,0.061561169,-0.360195622,0.174730015,-0.078043455,-0.070570509,0.89,0
67878.0,-0.641329679,-0.057303871,1.489998329,-1.688130948,-1.15104267,0.259995891,-1.391069407,-2.334075197,1.168643568,-2.084079935,0.480381323,0.473738382,-2.19227552,0.773941919,0.294483676,0.406074496,-0.541854848,1.031449685,0.017075838,0.618410694,-1.231634026,0.257164172,-0.371953018,-0.038566084,1.397513663,-0.665946912,0.031003039,0.180356653,100.0,0
159763.0,2.023951738,-0.120139756,-1.086918335,0.423019142,-0.142901392,-1.127751951,0.178493435,-0.303233536,0.564509209,0.062830722,-0.720047121,0.366835116,-0.110856961,0.31909374,0.108359159,-0.153633324,-0.22131236,-0.934141419,0.070552734,-0.210864484,-0.276174939,-0.697708395,0.335631348,-0.017196366,-0.324903691,0.200023173,-0.071566002,-0.058223879,16.99,0
139631.0,-0.688943615,1.292153465,-0.564281405,-1.457525626,2.25833305,-0.323270488,1.678984452,-0.104127881,-1.285350748,-1.303434703,0.282728216,-0.402525063,-0.548687476,-0.504283286,-0.685339268,0.714828083,-0.092673636,0.798952997,-0.15008533,-0.0371504,-0.006879527,-0.171567515,-0.720019495,-0.419435298,1.211990674,0.670915582,-0.103986326,0.030084199,8.95,0
133944.0,2.119362494,0.142639231,-2.373337275,0.541948583,0.60841883,-1.775563906,0.955774503,-0.599382907,0.010419794,0.295304761,-0.936569156,-0.452477543,-1.340798452,1.077458613,-0.099583641,-0.815072366,0.018481087,-0.639446207,-0.065426717,-0.323573149,0.264264057,0.898265927,-0.168062721,0.059311174,0.626948964,0.729035484,-0.129119657,-0.094713348,10.0,0
58769.0,-5.584255807,-4.732412709,-0.44845174,-0.121442312,-0.707411881,-0.114375894,-1.55462809,1.40212558,-0.031693171,-0.942358121,-2.439501498,-0.552312042,-0.295587726,-0.250246079,-1.197731615,1.549552681,0.933236724,-1.237689487,0.416831613,-1.046900072,0.041650743,0.621789024,0.2234666,-0.770137053,0.621182198,-0.028737913,0.505194315,-1.898322773,101.49,0
81055.0,-1.593002387,0.756802901,1.274002425,0.244126704,0.335044887,0.272886373,0.389541829,0.676943851,-0.579538573,-0.819436287,0.362192736,0.436744883,-1.148969294,0.573126491,-1.215217783,-0.130036222,-0.086951695,-0.116533191,-0.373488785,-0.293183927,0.031681261,-0.063355149,-0.268928153,-0.321185987,0.68149986,-0.39028708,-0.195157924,-0.039483487,43.5,0
149357.0,1.911978969,-0.533074383,-1.878743856,-0.478890632,1.775019927,3.807865958,-1.34929765,1.116637129,1.329865377,-0.666750182,0.25534561,0.286834766,-0.021013087,-1.277795475,1.402421238,0.712418858,0.209889765,0.623312341,-0.602310664,-0.071210011,-0.015567077,0.010344141,0.287962887,0.582446158,-0.358263953,-0.415078547,0.087248549,-0.003321665,21.61,0
157885.0,1.856003945,-1.091988572,-1.094525996,0.536984316,-0.460546864,0.25792976,-0.54879101,-0.006731858,-0.136464832,0.953864575,-2.006994929,-0.609613118,-0.204192272,0.036315077,0.317903267,-1.063352577,-0.5795533,1.698623395,-1.007798351,-0.356007438,-0.291012382,-0.599191845,0.08514398,-0.053349154,-0.127225559,-0.674903743,0.029665076,-0.006175512,156.0,0
66315.0,-0.745323973,1.37441121,-0.240707834,0.592740688,0.036571897,0.642730594,-0.098413983,1.009457462,-0.931696776,-0.366033657,0.029744439,0.405037254,-0.127257421,1.134588881,0.632134921,0.237009841,-0.258529932,0.627753629,0.711557081,-0.277442763,0.226342704,0.390163431,-0.106835065,-1.14965418,-0.079281177,-0.251689909,-0.280062945,-0.118391813,42.0,0
111116.0,-0.198807029,1.205333992,-0.113648138,-0.246481815,0.751389866,-0.35911063,0.493848936,-0.948921712,1.573061614,-0.625275713,-0.448324266,-3.34157765,0.365717318,2.134382843,0.308014589,-0.51903912,0.419601128,0.918949414,0.396165294,-0.213150878,0.935082204,0.674378423,-0.11398325,0.394220021,-0.384529701,-0.448941751,0.49321655,0.289281862,1.0,0
153290.0,-3.608205248,-1.471143907,0.327140291,0.14996366,3.666915293,-2.701360327,-1.340508161,-0.52298637,1.115929029,0.769869699,0.132040772,0.610286431,1.033142579,-1.937053682,0.323443941,0.261688761,0.369499623,-0.414221967,-0.313155425,-1.549603014,-0.74681365,-0.03331588,-1.690791556,1.249014775,-0.608078106,0.326580279,0.991898814,-0.059785891,8.54,0
52913.0,0.676854829,1.58702921,-1.508146983,1.443814844,1.316789979,-1.160342141,1.14904911,-0.419393133,-0.090565449,-0.323058485,2.967920898,-0.15502628,-0.717766109,-3.70927518,0.731050307,0.51012502,2.73026213,1.463745862,-0.578405586,0.317927044,-0.191418402,0.101450781,0.058298397,-0.135311157,-0.604406167,-0.452763216,0.046430177,-0.383641518,0.89,0
162837.0,-2.537172005,1.695828235,1.204913878,4.456818738,-0.82926378,1.473885051,-1.182380357,1.467687367,-1.75016635,1.045582421,-1.818924457,-0.442261234,0.609998511,0.493008924,1.247058223,0.872000545,0.302669862,0.753801698,1.203337586,-0.283366618,0.159692378,0.025940023,-0.048288369,0.465337543,-0.015817296,0.308850416,-0.863546046,-0.08170221,26.47,0
34118.0,1.45344691,-0.974689571,-0.134962019,-1.418547459,-1.057754832,-0.948851052,-0.461141253,-0.350839665,-2.149148582,1.404099695,-0.758518716,-0.79506767,0.834501397,-0.169291354,0.368824769,-0.433711598,0.424573887,-0.439838182,0.200289036,-0.175953481,-0.556625137,-1.398363251,0.089570564,-0.177538067,0.290734834,-0.504810663,-0.000738624,0.025708169,76.0,0
